file_name,text
2.png,A Digger by Vincent Van Gogh
3.png,A Group of Cottages by Vincent Van Gogh
7.png,Autumn Landscape At Dusk by Vincent Van Gogh
10.png,Peach Trees in Blossom by Vincent Van Gogh
13.png,Landscape Under A Stormy Sky by Vincent Van Gogh
17.png,Wheatfield with Crows by Vincent Van Gogh
19.png,Wheat Field With Reaper And Sun by Vincent Van Gogh
21.png,Cypress against a Starry Sky by Vincent Van Gogh
22.png,A Sower (after Millet) by Vincent Van Gogh
23.png,Backyards Of Old Houses In Antwerp In The Snow by Vincent Van Gogh
36.png,Luncheon of the Boating Party 2 by Pierre Auguste Renoir
38.png,The Harem Aka Parisian Women Dresses As Algerians by Pierre Auguste Renoir
44.png,A Walk In The Woods Aka Madame Lecoeur And Her Children by Pierre Auguste Renoir
48.png,Algerian Landscape Aka The Ravine Of The Wild Women by Pierre Auguste Renoir
54.png,Argenteuil (Red Boats) by Claude Oscar Monet
58.png,Bouquet Of Sunflowers by Claude Oscar Monet
62.png,"Terrace at the Seaside, Sainte-Adresse by Claude Oscar Monet"
64.png,Young Girl In The Garden At Giverny by Claude Oscar Monet
127.png,Afternoon In Naples With A Black Servant by Paul Cezanne
128.png,A Modern Olympia (Pasha by Paul Cezanne
132.png,Houses In Provence The Riaux Valley Near L Estaque by Paul Cezanne
136.png,Madame Cezanne In The Conservatory by Paul Cezanne
138.png,Melting Snow Fontainbleau by Paul Cezanne
139.png,Flowers And Fruit by Paul Cezanne
141.png,Three Skulls by Paul Cezanne
142.png,Apples And Biscuits by Paul Cezanne
144.png,Mardi Gras by Paul Cezanne
146.png,House Of The Hanged Man Auvers Sur Oise by Paul Cezanne
156.png,Three Sketches Of The Prodigal Son With A Whore (detail) by Rembrandt Van Rijn
160.png,Abraham Entertaining the Angels by Rembrandt Van Rijn
162.png,Adoration of the Shepherds 1646 by Rembrandt Van Rijn
173.png,Biblical Scene 1642 by Rembrandt Van Rijn
228.png,"The Great Falls of the Reichenbach, 1804 by Joseph Mallord William Turner"
236.png,Fishermen at Sea (or The Cholmeley Sea Piece) by Joseph Mallord William Turner
260.png,The Liberation of St Peter by Raphael
262.png,The Vision of Ezekiel 1518 by Raphael
281.png,Sacrifice of Noah 1509 by Michelangelo Buonarroti
284.png,The Rape of Ganymede c. 1533 by Michelangelo Buonarroti
285.png,Christ On The Cross 1541 by Michelangelo Buonarroti
286.png,"Creation of the Sun, Moon, and Plants (detail-1) 1511 by Michelangelo Buonarroti"
289.png,Creation of Eve (with ignudi and medallions) 1509-10 by Michelangelo Buonarroti
291.png,"Creation of the Sun, Moon, and Plants 1511 by Michelangelo Buonarroti"
302.png,Caprichos Plate 10 Love And Death by Francisco De Goya y Lucientes
313.png,Caprichos Plate 65 Where Is Mama Going by Francisco De Goya y Lucientes
329.png,A Garden in Nassau by Winslow Homer
336.png,"Salt Kettle, Bermuda by Winslow Homer"
340.png,"Black Bass, Florida by Winslow Homer"
350.png,The Death of Sardanapalus by Eugene Delacroix
351.png,Arabian Horses Fighting in a Stable by Eugene Delacroix
354.png,The Massacre of Chios by Eugene Delacroix
355.png,Apollo Slays Python by Eugene Delacroix
356.png,Attila and his Hordes Overrun Italy and the Arts (detail) 1843-47 by Eugene Delacroix
