file_name,text
0.png,Cafe Terrace on the Place du Forum by Vincent Van Gogh
1.png,Starry Night by Vincent Van Gogh
2.png,A Digger by Vincent Van Gogh
3.png,A Group of Cottages by Vincent Van Gogh
4.png,A Pair of Shoes by Vincent Van Gogh
5.png,Blossoming Almond Tree by Vincent Van Gogh
6.png,Branches with Almond Blossom by Vincent Van Gogh
7.png,Autumn Landscape At Dusk by Vincent Van Gogh
8.png,Agostina Segatori Sitting In The Cafe Du Tambourin by Vincent Van Gogh
9.png,The Bedroom by Vincent Van Gogh
10.png,Peach Trees in Blossom by Vincent Van Gogh
11.png,Nude Woman Reclining by Vincent Van Gogh
12.png,A Path through a Ravine by Vincent Van Gogh
13.png,Landscape Under A Stormy Sky by Vincent Van Gogh
14.png,Country Churchyard and Old Church Tower by Vincent Van Gogh
15.png,Bank Of The Oise At Auvers by Vincent Van Gogh
16.png,Crab On Its Back by Vincent Van Gogh
17.png,Wheatfield with Crows by Vincent Van Gogh
18.png,Fishing Boats On The Beach At Saintes Maries by Vincent Van Gogh
19.png,Wheat Field With Reaper And Sun by Vincent Van Gogh
20.png,At The Foot Of The Mountains by Vincent Van Gogh
21.png,Cypress against a Starry Sky by Vincent Van Gogh
22.png,A Sower (after Millet) by Vincent Van Gogh
23.png,Backyards Of Old Houses In Antwerp In The Snow by Vincent Van Gogh
24.png,A Marsh by Vincent Van Gogh
25.png,Two Sisters Aka On The Terrace by Pierre Auguste Renoir
26.png,Young Boy With A Cat by Pierre Auguste Renoir
27.png,Reclining Nude (Pierre Auguste Renoir 1883) by Pierre Auguste Renoir
28.png,Mlle Irene Cahen DAnvers by Pierre Auguste Renoir
29.png,After Bathing (nude Study) by Pierre Auguste Renoir
30.png,A Bowlful Of Roses by Pierre Auguste Renoir
31.png,Roses And Jasmine In A Delft Vase by Pierre Auguste Renoir
32.png,A Road In Louveciennes by Pierre Auguste Renoir
33.png,Le Pont Neuf Paris by Pierre Auguste Renoir
34.png,La Grenouillere2 by Pierre Auguste Renoir
35.png,Summer Landscape Aka Woman With A Parasol In A Garden by Pierre Auguste Renoir
36.png,Luncheon of the Boating Party 2 by Pierre Auguste Renoir
37.png,After Bathing Seated Female Nude by Pierre Auguste Renoir
38.png,The Harem Aka Parisian Women Dresses As Algerians by Pierre Auguste Renoir
39.png,Girls at the Piano I by Pierre Auguste Renoir
40.png,The Doges Palace Venice by Pierre Auguste Renoir
41.png,Apples And Flowers by Pierre Auguste Renoir
42.png,After Bathing by Pierre Auguste Renoir
43.png,Nude Boys On The Rocks At Guernsey by Pierre Auguste Renoir
44.png,A Walk In The Woods Aka Madame Lecoeur And Her Children by Pierre Auguste Renoir
45.png,The Lovers by Pierre Auguste Renoir
46.png,A Box In The Theater Des Varietes by Pierre Auguste Renoir
47.png,View Of Antibes by Pierre Auguste Renoir
48.png,Algerian Landscape Aka The Ravine Of The Wild Women by Pierre Auguste Renoir
49.png,Young Woman At The Piano by Pierre Auguste Renoir
